TICK: 000062 | PC: 00102 | STEP: 0 | IR: dup | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [10] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: '' | dup
TICK: 000063 | PC: 00102 | STEP: 0 | IR: store 2 | A: 0 | AR: 4 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch store 2
TICK: 000064 | PC: 00102 | STEP: 1 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 2
TICK: 000065 | PC: 00107 | STEP: 0 | IR: store 2 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: write mem[2] <- 0 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000066 | PC: 00107 | STEP: 0 | IR: drop | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch drop
TICK: 000067 | PC: 00108 | STEP: 0 | IR: drop | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | drop
TICK: 000068 | PC: 00108 | STEP: 0 | IR: load 1 | A: 0 | AR: 2 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch load 1
TICK: 000069 | PC: 00108 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000070 | PC: 00113 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000071 | PC: 00113 | STEP: 0 | IR: literal 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 1
TICK: 000072 | PC: 00118 | STEP: 0 | IR: literal 1 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 1
TICK: 000073 | PC: 00118 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch add
TICK: 000074 | PC: 00118 | STEP: 1 | IR: add | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | add.load_operands
TICK: 000075 | PC: 00119 | STEP: 0 | IR: add | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC,IR.clear | OUT: '' | add.write_result
TICK: 000076 | PC: 00119 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch dup
TICK: 000077 | PC: 00120 | STEP: 0 | IR: dup | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: '' | dup
TICK: 000078 | PC: 00120 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch store 1
TICK: 000079 | PC: 00120 | STEP: 1 | IR: store 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | store.addr 1
TICK: 000080 | PC: 00125 | STEP: 0 | IR: store 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: write mem[1] <- 1 | LATCH: MEM,PC,IR.clear | OUT: '' | store.write
TICK: 000081 | PC: 00125 | STEP: 0 | IR: drop | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch drop
TICK: 000082 | PC: 00126 | STEP: 0 | IR: drop | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | drop
TICK: 000083 | PC: 00126 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch load 1
TICK: 000084 | PC: 00126 | STEP: 1 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: '' | load.addr 1
TICK: 000085 | PC: 00131 | STEP: 0 | IR: load 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: read mem[1] | LATCH: DS.push,PC,IR.clear | OUT: '' | load.read
TICK: 000086 | PC: 00131 | STEP: 0 | IR: literal 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 1
TICK: 000087 | PC: 00136 | STEP: 0 | IR: literal 1 | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 1
TICK: 000088 | PC: 00136 | STEP: 0 | IR: sub | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [1, 1] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch sub
TICK: 000089 | PC: 00136 | STEP: 1 | IR: sub | A: 0 | AR: 1 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left,ALU.right | OUT: '' | sub.load_operands
TICK: 000090 | PC: 00137 | STEP: 0 | IR: sub | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push(ALU),PC,IR.clear | OUT: '' | sub.write_result
TICK: 000091 | PC: 00137 | STEP: 0 | IR: nif 172 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch nif 172
TICK: 000092 | PC: 00137 | STEP: 1 | IR: nif 172 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: '' | nif.test
TICK: 000093 | PC: 00142 | STEP: 0 | IR: nif 172 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: '' | nif.branch
TICK: 000094 | PC: 00142 | STEP: 0 | IR: literal 5 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch literal 5
TICK: 000095 | PC: 00147 | STEP: 0 | IR: literal 5 | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [5] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: '' | literal 5
TICK: 000096 | PC: 00147 | STEP: 0 | IR: stack_to_a | A: 0 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [5] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch stack_to_a
TICK: 000097 | PC: 00148 | STEP: 0 | IR: stack_to_a | A: 5 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: A,PC,IR.clear | OUT: '' | stack_to_a
TICK: 000098 | PC: 00148 | STEP: 0 | IR: a_load_+ | A: 5 | AR: 1 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: '' | fetch a_load_+
