TICK: 000057 | PC: 00072 | STEP: 0 | IR: a_load_+ | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: A,PC,IR.clear | OUT: 'O' | aload.increment
TICK: 000058 | PC: 00072 | STEP: 0 | IR: dup | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: IR | OUT: 'O' | fetch dup
TICK: 000059 | PC: 00073 | STEP: 0 | IR: dup | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75, 75] | RS: [10] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: 'O' | dup
TICK: 000060 | PC: 00073 | STEP: 0 | IR: if 88 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75, 75] | RS: [10] | MEM: - | LATCH: IR | OUT: 'O' | fetch if 88
TICK: 000061 | PC: 00073 | STEP: 1 | IR: if 88 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'O' | if.test
TICK: 000062 | PC: 00078 | STEP: 0 | IR: if 88 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'O' | if.branch
TICK: 000063 | PC: 00078 | STEP: 0 | IR: store 31999 | A: 5 | AR: 4 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: IR | OUT: 'O' | fetch store 31999
TICK: 000064 | PC: 00078 | STEP: 1 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [75] | RS: [10] | MEM: - | LATCH: AR | OUT: 'O' | store.addr 31999
TICK: 000065 | PC: 00083 | STEP: 0 | IR: store 31999 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 75 | LATCH: OUT,PC,IR.clear | OUT: 'OK' | store.write
TICK: 000066 | PC: 00083 | STEP: 0 | IR: jmp 71 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch jmp 71
TICK: 000067 | PC: 00071 | STEP: 0 | IR: jmp 71 | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | jmp 71
TICK: 000068 | PC: 00071 | STEP: 0 | IR: a_load_+ | A: 5 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch a_load_+
TICK: 000069 | PC: 00071 | STEP: 1 | IR: a_load_+ | A: 5 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'OK' | aload.addr
TICK: 000070 | PC: 00071 | STEP: 2 | IR: a_load_+ | A: 5 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: read mem[5] | LATCH: DS.push | OUT: 'OK' | aload.read
TICK: 000071 | PC: 00072 | STEP: 0 | IR: a_load_+ | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: A,PC,IR.clear | OUT: 'OK' | aload.increment
TICK: 000072 | PC: 00072 | STEP: 0 | IR: dup | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch dup
TICK: 000073 | PC: 00073 | STEP: 0 | IR: dup | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [10] | MEM: - | LATCH: DS.dup,PC,IR.clear | OUT: 'OK' | dup
TICK: 000074 | PC: 00073 | STEP: 0 | IR: if 88 | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0, 0] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch if 88
TICK: 000075 | PC: 00073 | STEP: 1 | IR: if 88 | A: 6 | AR: 5 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'OK' | if.test
TICK: 000076 | PC: 00088 | STEP: 0 | IR: if 88 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | if.branch
TICK: 000077 | PC: 00088 | STEP: 0 | IR: drop | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch drop
TICK: 000078 | PC: 00089 | STEP: 0 | IR: drop | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | drop
TICK: 000079 | PC: 00089 | STEP: 0 | IR: literal 0 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch literal 0
TICK: 000080 | PC: 00094 | STEP: 0 | IR: literal 0 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: 'OK' | literal 0
TICK: 000081 | PC: 00094 | STEP: 0 | IR: drop | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch drop
TICK: 000082 | PC: 00095 | STEP: 0 | IR: drop | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | drop
TICK: 000083 | PC: 00095 | STEP: 0 | IR: jmp 130 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch jmp 130
TICK: 000084 | PC: 00130 | STEP: 0 | IR: jmp 130 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | jmp 130
TICK: 000085 | PC: 00130 | STEP: 0 | IR: literal 0 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch literal 0
TICK: 000086 | PC: 00135 | STEP: 0 | IR: literal 0 | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: DS.push,PC,IR.clear | OUT: 'OK' | literal 0
TICK: 000087 | PC: 00135 | STEP: 0 | IR: return | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [10] | MEM: - | LATCH: IR | OUT: 'OK' | fetch return
TICK: 000088 | PC: 00010 | STEP: 0 | IR: return | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: PC,IR.clear | OUT: 'OK' | return
TICK: 000089 | PC: 00010 | STEP: 0 | IR: halt | A: 6 | AR: 5 | NZ: 01 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [0] | RS: [] | MEM: - | LATCH: IR | OUT: 'OK' | fetch halt
