TICK: 000050 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 6 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44] | RS: [10] | MEM: read mem[6] | LATCH: DS.push | OUT: 'Hello' | aload.read
TICK: 000051 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 7 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello' | aload.increment
TICK: 000052 | PC: 00019 | STEP: 0 | IR: dup | A: 7 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44, 44] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello' | dup
TICK: 000053 | PC: 00019 | STEP: 1 | IR: if 34 | A: 7 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello' | if.test
TICK: 000054 | PC: 00024 | STEP: 0 | IR: if 34 | A: 7 | AR: 6 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello' | if.branch
TICK: 000055 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 7 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [44] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello' | store.addr 31999
TICK: 000056 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 7 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 44 | LATCH: OUT,PC | OUT: 'Hello,' | store.write
TICK: 000057 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 7 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello,' | jmp 17
TICK: 000058 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 7 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello,' | aload.addr
TICK: 000059 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 7 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32] | RS: [10] | MEM: read mem[7] | LATCH: DS.push | OUT: 'Hello,' | aload.read
TICK: 000060 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 8 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello,' | aload.increment
TICK: 000061 | PC: 00019 | STEP: 0 | IR: dup | A: 8 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32, 32] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello,' | dup
TICK: 000062 | PC: 00019 | STEP: 1 | IR: if 34 | A: 8 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello,' | if.test
TICK: 000063 | PC: 00024 | STEP: 0 | IR: if 34 | A: 8 | AR: 7 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello,' | if.branch
TICK: 000064 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 8 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [32] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello,' | store.addr 31999
TICK: 000065 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 8 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 32 | LATCH: OUT,PC | OUT: 'Hello, ' | store.write
TICK: 000066 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 8 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, ' | jmp 17
TICK: 000067 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 8 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, ' | aload.addr
TICK: 000068 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 8 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119] | RS: [10] | MEM: read mem[8] | LATCH: DS.push | OUT: 'Hello, ' | aload.read
TICK: 000069 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 9 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello, ' | aload.increment
TICK: 000070 | PC: 00019 | STEP: 0 | IR: dup | A: 9 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119, 119] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello, ' | dup
TICK: 000071 | PC: 00019 | STEP: 1 | IR: if 34 | A: 9 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello, ' | if.test
TICK: 000072 | PC: 00024 | STEP: 0 | IR: if 34 | A: 9 | AR: 8 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, ' | if.branch
TICK: 000073 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 9 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [119] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, ' | store.addr 31999
TICK: 000074 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 9 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 119 | LATCH: OUT,PC | OUT: 'Hello, w' | store.write
TICK: 000075 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 9 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, w' | jmp 17
TICK: 000076 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 9 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, w' | aload.addr
TICK: 000077 | PC: 00017 | STEP: 2 | IR: a_load_+ | A: 9 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: read mem[9] | LATCH: DS.push | OUT: 'Hello, w' | aload.read
TICK: 000078 | PC: 00018 | STEP: 0 | IR: a_load_+ | A: 10 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: A,PC | OUT: 'Hello, w' | aload.increment
TICK: 000079 | PC: 00019 | STEP: 0 | IR: dup | A: 10 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111, 111] | RS: [10] | MEM: - | LATCH: DS.dup,PC | OUT: 'Hello, w' | dup
TICK: 000080 | PC: 00019 | STEP: 1 | IR: if 34 | A: 10 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: ALU.left | OUT: 'Hello, w' | if.test
TICK: 000081 | PC: 00024 | STEP: 0 | IR: if 34 | A: 10 | AR: 9 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, w' | if.branch
TICK: 000082 | PC: 00024 | STEP: 1 | IR: store 31999 | A: 10 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [111] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, w' | store.addr 31999
TICK: 000083 | PC: 00029 | STEP: 0 | IR: store 31999 | A: 10 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: write mem[31999] <- 111 | LATCH: OUT,PC | OUT: 'Hello, wo' | store.write
TICK: 000084 | PC: 00017 | STEP: 0 | IR: jmp 17 | A: 10 | AR: 31999 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: PC | OUT: 'Hello, wo' | jmp 17
TICK: 000085 | PC: 00017 | STEP: 1 | IR: a_load_+ | A: 10 | AR: 10 | NZ: 00 | IE: 1 | PENDING: 0 | IN_INTR: 0 | DS: [] | RS: [10] | MEM: - | LATCH: AR | OUT: 'Hello, wo' | aload.addr
